"","game_id","play_id","event_game_index","rusher_name","blocker_name","beat_time","beat_dist","rusher_won","double_team"
"82",1069714,"1c037c1c-d298-43f9-b376-998c6ec8440f",1363,"Tyeler Davison","Ben Bredeson",NA,NA,0,0
"83",1069714,"1c037c1c-d298-43f9-b376-998c6ec8440f",1364,"Ta'Quon Graham","Nate Solder",NA,NA,0,0
"84",1069714,"1c037c1c-d298-43f9-b376-998c6ec8440f",1373,"Jonathan Bullard","Will Hernandez",NA,NA,0,1
"85",1069714,"7f73ff2a-447a-450d-99b9-66d4bcccbaa7",1581,"Marlon Davidson","Will Hernandez",NA,NA,0,1
"86",1069714,"7f73ff2a-447a-450d-99b9-66d4bcccbaa7",1582,"Dante Fowler Jr.","Andrew Thomas",NA,NA,0,0
"87",1069714,"7f73ff2a-447a-450d-99b9-66d4bcccbaa7",1584,"Marlon Davidson","Nate Solder",NA,NA,0,1
"88",1069714,"7f73ff2a-447a-450d-99b9-66d4bcccbaa7",1585,"Grady Jarrett","Ben Bredeson",NA,NA,0,0
"89",1069714,"175efca3-18b0-4ab4-bae5-7264927367a4",1613,"Grady Jarrett","Billy Price",0.762735999999997,1.57664200121651,1,1
"90",1069714,"175efca3-18b0-4ab4-bae5-7264927367a4",1614,"Grady Jarrett","Will Hernandez",0.762735999999997,1.57664200121651,1,1
"91",1069714,"175efca3-18b0-4ab4-bae5-7264927367a4",1617,"Tyeler Davison","Ben Bredeson",NA,NA,0,1
"92",1069714,"175efca3-18b0-4ab4-bae5-7264927367a4",1618,"Dante Fowler Jr.","Nate Solder",NA,NA,0,0
"93",1069714,"175efca3-18b0-4ab4-bae5-7264927367a4",1623,"Marlon Davidson","Andrew Thomas",NA,NA,0,0
"94",1069714,"175efca3-18b0-4ab4-bae5-7264927367a4",1636,"Tyeler Davison","Billy Price",NA,NA,0,1
"95",1069714,"f64a86e2-cd07-49f8-8664-1873c8e8547c",1709,"Grady Jarrett","Ben Bredeson",NA,NA,0,0
"96",1069714,"f64a86e2-cd07-49f8-8664-1873c8e8547c",1711,"Steven Means","Nate Solder",NA,NA,0,1
"97",1069714,"f64a86e2-cd07-49f8-8664-1873c8e8547c",1712,"Tyeler Davison","Billy Price",NA,NA,0,1
"98",1069714,"f64a86e2-cd07-49f8-8664-1873c8e8547c",1713,"Tyeler Davison","Will Hernandez",NA,NA,0,1
"99",1069714,"f64a86e2-cd07-49f8-8664-1873c8e8547c",1715,"Adetokunbo Ogundeji","Andrew Thomas",NA,NA,0,0
"100",1069714,"f64a86e2-cd07-49f8-8664-1873c8e8547c",1725,"Steven Means","Will Hernandez",NA,NA,0,1
"101",1069714,"d1979aa7-52b8-4ab4-9a32-bb91598411d3",1750,"Grady Jarrett","Andrew Thomas",NA,NA,0,0
"102",1069714,"d1979aa7-52b8-4ab4-9a32-bb91598411d3",1751,"Foyesade Oluokun","Ben Bredeson",2.402072,4.94920195587127,1,0
"103",1069714,"d1979aa7-52b8-4ab4-9a32-bb91598411d3",1752,"Deion Jones","Billy Price",2.402072,3.47223271109527,1,1
"104",1069714,"d1979aa7-52b8-4ab4-9a32-bb91598411d3",1757,"Marlon Davidson","Nate Solder",NA,NA,0,0
"105",1069714,"d1979aa7-52b8-4ab4-9a32-bb91598411d3",1762,"Deion Jones","Will Hernandez",1.51763,4.67372442490997,1,1
"106",1069714,"94598623-6f64-4c55-a277-7fc1179f92ef",1799,"Tyeler Davison","Will Hernandez",2.34979799999999,14.4498062270745,1,1
"107",1069714,"94598623-6f64-4c55-a277-7fc1179f92ef",1800,"Ta'Quon Graham","Ben Bredeson",NA,NA,0,1
"108",1069714,"94598623-6f64-4c55-a277-7fc1179f92ef",1802,"Ta'Quon Graham","Billy Price",1.44245899999999,7.59331284749944,1,1
"109",1069714,"94598623-6f64-4c55-a277-7fc1179f92ef",1804,"Dante Fowler Jr.","Andrew Thomas",NA,NA,0,1
"110",1069714,"94598623-6f64-4c55-a277-7fc1179f92ef",1810,"Tyeler Davison","Nate Solder",NA,NA,0,1
"111",1069714,"94598623-6f64-4c55-a277-7fc1179f92ef",1832,"Dante Fowler Jr.","Billy Price",NA,NA,0,1
"112",1069714,"babb1bcd-f541-4e4c-b3f6-3a991c96672c",1961,"Grady Jarrett","Billy Price",NA,NA,0,0
"113",1069714,"babb1bcd-f541-4e4c-b3f6-3a991c96672c",1963,"Jonathan Bullard","Andrew Thomas",NA,NA,0,0
"114",1069714,"babb1bcd-f541-4e4c-b3f6-3a991c96672c",1968,NA,"Nate Solder",NA,NA,0,0
"115",1069714,"d2a97b75-1bde-4523-a794-65b151204476",2007,"Grady Jarrett","Billy Price",NA,NA,0,1
"116",1069714,"d2a97b75-1bde-4523-a794-65b151204476",2008,"Grady Jarrett","Will Hernandez",NA,NA,0,1
