"play_uuid","game_id","hit_player","hit"
"6ad61b9b-2097-48ac-8d45-0f18764c2816",1502076,"Tershawn Wharton",1
"6ad61b9b-2097-48ac-8d45-0f18764c2816",1502076,"Chris Jones",1
"6ad61b9b-2097-48ac-8d45-0f18764c2816",1502076,"Jarran Reed",1
"bca7a813-e5df-4ba7-a246-2f954ebdfd02",1502078,"Jeremiah Attaochu",1
"0a3040bb-73cf-4e0d-a4dc-48dcf4e63c1c",1502078,"Myles Garrett",1
"cb67a3a7-8cbb-488b-8b50-b911ebda500c",1502078,"Malik Mcdowell",1
"6cf781cf-acdf-4366-af53-418d5351c138",1502079,"Tyus Bowser",1
"793bcc84-d301-4281-aff2-d3c4e3449e3b",1502079,"Romeo Okwara",1
"7db04aa9-ad83-4269-ab1f-478544d944a1",1502079,"Aj Parker",1
"31ce7301-156b-4561-9021-de7da0c9f97d",1502079,"Julian Okwara",1
"31ce7301-156b-4561-9021-de7da0c9f97d",1502079,"Romeo Okwara",1
"44ed1e0c-2ab5-4e8e-84e6-44652699d4cf",1502080,"Shy Tuttle",1
"a08a2a84-5e3c-4335-a05e-f441510e4e9c",1502080,"Kyle Dugger",1
"4c6c3746-b69d-4603-99d2-ab875000e0e5",1502080,"Chase Winovich",1
"4b2972b2-be72-487a-a5cc-c30a1b9f6b4f",1502082,"Chase Young",1
"50451aed-6a12-411c-ac1a-32e089c1a378",1502083,"Sheldon Rankins",1
"e084399c-9118-403b-bea2-c710624c231d",1502083,"Von Miller",1
"541cdec9-bb7a-4e16-a3a0-d281dded0a12",1502083,"Malik Reed",1
"84ece47e-8fe8-4ddf-a45c-adad0e9a37c9",1502083,"Malik Reed",1
"0ea18d89-f325-4c84-bacf-e9f11abfb99f",1502083,"Deshawn Williams",1
"0f44b2c3-7936-47e8-903e-4a979c15a42a",1502084,"Maxx Crosby",1
"35be246d-719c-4f20-b61d-f4355ec69da0",1502084,"Emmanuel Ogbah",1
"b1f4c313-48cb-4747-9161-fb549d9dd4e7",1502084,"Yannick Ngakoue",1
"a4854ec0-c1a1-4453-a1ef-b8604cb8f6e1",1502084,"Johnathan Abram",1
"b3add722-3e0a-45ff-9efe-2b03ca1fc940",1502084,"Maxx Crosby",1
"e7f1c119-6b84-47b7-959e-a39c8b27a61a",1502084,"Darius Philon",1
"b7fc6c6b-6dce-4f2d-ae51-f700240a0d4e",1502085,"Preston Smith",1
"6427aafb-c537-4c5f-bea8-a9821b5d1d2d",1502088,"Harold Landry III",1
"b26a4a98-3993-48ca-b9b7-1ef70241aaaf",1502088,"Nathan Shepherd",1
"8e74e89a-2917-402b-818e-1d7155a40c63",1502088,"John Franklin-Myers",1
"3ba1fdc4-e11b-47a1-8457-f27fd4fe6074",1502089,"Mike Danna",1
"3ba1fdc4-e11b-47a1-8457-f27fd4fe6074",1502089,"Chris Jones",1
"cb219850-f862-4baa-a0bf-8e74e1ae47a8",1502089,"Daniel Sorensen",1
"df3b1d15-c530-4fda-a552-06edc95a35a5",1502089,"Alex Okafor",1
"ad880a5c-100e-4978-a4b9-654af75fa47a",1502090,"Chauncey Golston",1
"e92fe5b7-271e-4cab-94b4-68604f8670b6",1502090,"Jayron Kearse",1
"aac42d82-c71c-402e-8fcb-8e3c213c1dc7",1502090,"Brent Urban",1
"64b7cfb4-28ec-478f-9509-953e69a1aaf2",1502091,"C.J. Gardner-Johnson",1
"7884a4c9-de85-4e07-9597-c763765a8aad",1502092,"Jadeveon Clowney",1
"1e52a5d4-7ef5-4c6c-8df5-115754a6ace0",1502092,"Malik Jackson",1
"1e52a5d4-7ef5-4c6c-8df5-115754a6ace0",1502092,"Malik Mcdowell",1
"8918b17b-322d-4964-a7fa-74543d9bde2d",1502093,"Dean Marlowe",1
"ae57d2d4-2d06-4bdf-8c27-814995637d99",1502093,"Angelo Blackson",1
"cf5e7fc8-c1b0-4a66-888e-efaf0fdf2e28",1502093,"Daryl Worley",1
"593d9419-c6c7-45e0-9e2b-92cbf3f9bd6a",1502094,"Charles Omenihu",1
"c839e288-b205-4c2d-bd14-42d5fb291c2c",1502094,"Aaron James Klein",1
"231b65fe-630c-44e6-9f09-6160abfbaa1d",1502095,"Tyquan Lewis",1
"9b2ec40a-a4b1-4851-bfa1-ede95dc5e738",1502095,"Zaire Franklin",1
"764988c5-0885-4deb-a1a7-ee29290fabbf",1502095,"Zach Sieler",1
"5b9391a3-5a92-40e3-81e9-a5c39246e713",1502096,"Dante Fowler Jr.",1
"18d01594-20ae-401c-b73e-1d04f475c983",1502097,"Alton Robinson",1
"18d01594-20ae-401c-b73e-1d04f475c983",1502097,"Kerry Hyder Jr.",1
"2c2fd5cc-3275-4b56-b7b5-d27f020beb05",1502097,"Dontae Johnson",1
"4d57c837-0708-4603-8f4c-08a68b9f3e0f",1502097,"Carlos Dunlap",1
"5c178dee-45f2-4361-b56c-07bcbe16704f",1502097,"Carlos Dunlap",1
"b45a719d-9ce3-4d48-9626-6adab366b251",1502098,"J.J. Watt",1
"61fff6e6-138e-41a4-8baa-fcf165df3f71",1502100,"Tavon Young",1
