"play_uuid","game_id","sack_player","sack"
"b3265aa8-54c3-44d7-ae68-88c115da1a46",1072137,"Carlos Dunlap",1
"0a2c56a2-36ba-4b90-8d8a-e923175009e1",1072137,"Poona Ford",1
"04b7f0a0-b6be-447a-87fc-cb212243474b",1072137,"Kerry Hyder Jr.",1
"2a19085c-42c2-4150-bddd-bad094b061c1",1072137,"Carlos Dunlap",1
"ff888d6f-7a3d-41d3-adbc-4adbc40fc734",1072139,"Nick Bosa",1
"dc731af2-a36d-4ec7-a228-86872a45acc6",1072139,"Arik Armstead",1
"68cdf8df-0707-4b5b-8636-f0004c412bf3",1072139,"D.J. Jones",1
"681b9dc5-1ed9-4107-b67e-7ca567b3a1f0",1072139,"Charles Omenihu",1
"dd0ea3fd-e074-456b-9410-82f2fb61c192",1072139,"Kevin Givens",1
"cc976f43-09d2-480c-8b29-370da681d99c",1072141,"Kyle Van Noy",1
"d0a57d50-9363-4ee7-9d6b-df1faec727a8",1072141,"Andrew Van Ginkel",1
"a403247c-1b6b-407b-b085-eb08d678db29",1072141,"Christian Wilkins",1
"d77e46b1-3ffd-40a6-a6cb-3dc94c9c5978",1072143,"Tershawn Wharton",1
"86fa52e8-08fa-4e6a-a495-ccbd86b731d1",1072143,"Alex Highsmith",1
"c8b1c7d5-cdbe-42c7-ba2b-89f7cec856b3",1072143,"Montravius Adams",1
"f4da4a30-fc0f-4cb1-a5c6-00194f9d66d8",1072143,"T.J. Watt",1
"643668d9-48f2-48dd-ad15-d6febbfbebe0",1072143,"Mike Danna",1
"d729038b-bdd1-4ac8-85f5-be7ee6841122",1072145,"David Onyemata",1
"21f6a98a-2893-44d8-a74b-16561b47f012",1072145,"Cameron Jordan",1
"216afe70-506a-4da5-ba64-da30a14f82eb",1072147,"Markus Golden",1
"45fcaad1-30c8-4813-a657-c198ab17b57d",1072147,"Von Miller",1
"cef01d0d-7adc-4bf4-9dcd-13b9d4d33fad",1072147,"Aaron Donald",1
"e9beac7a-cf60-48fe-9c3e-5dc7b5812af7",1072149,"Denico Autry",1
"733b5cbf-0d06-4206-b2a5-eaa3417414cd",1072149,"Mike Hilton",1
"fa8038b8-63a7-42d0-8ff1-9e79c856e553",1072149,"Harold Landry III",1
"9fc221c5-1b2d-49b4-b9bd-c6922c2c8f2e",1072149,"Denico Autry",1
"aaa73aec-1196-4d68-aa8d-167734f22dc8",1072149,"Jeffery Simmons",1
"646831b9-e0a3-4297-b4e3-6c6eb97c05b0",1072149,"Bud Dupree",1
"3deeeec8-28e7-4ed5-ad73-4b2821b6b9bc",1072149,"Kyle Peko",1
"783dab0c-10b7-4f72-ae3e-64b8e273ff27",1072149,"Denico Autry",1
"526230de-d181-4d8d-af95-4e14eeb6b1f8",1072151,"Za'Darius Smith",1
"e8f47037-8a41-4918-b842-1720dccbe621",1072151,"Rashan Gary",1
"4f4e59ef-a074-4322-b18c-349f92136c7a",1072151,"Samson Ebukam",1
"40fb1186-7029-471c-ab2d-1bc8b4b7243f",1072151,"Rashan Gary",1
"079e12cb-6190-4dd3-97fb-165b027e5086",1072151,"Nick Bosa",1
"1ca70ed5-161d-4e18-a548-d4cfc0df1583",1072151,"Nick Bosa",1
"a2cfb88d-e7e7-44a7-b2cb-d8afd7a40d88",1072151,"Rashan Gary",1
"a16477b9-939e-4d48-a5e6-807896c2467a",1072151,"Nick Bosa",1
"3eca4b1e-055d-4ec1-a244-20f9df5d8ae4",1072151,"Arik Armstead",1
"25018fe7-7ad3-47eb-ae3d-d59f6cbf0084",1072153,"Vita Vea",1
"117d7854-5fba-4217-a8a9-2b83666ea87f",1072153,"Aaron Donald",1
"875c642a-40cf-43dc-ad74-d2f0bcbb40cd",1072153,"Von Miller",1
"ff3e5cc8-efd0-44f4-9701-9319ed8619e9",1072153,"Leonard Floyd",1
"4970b260-f938-469b-836d-d64f649d2d3d",1072153,"Jason Pierre-Paul",1
"f6aace8b-155f-4561-9f12-c6fbc3013478",1072155,"Melvin Ingram",1
"76dd9079-e75b-4dc8-ae11-238111f6656f",1072155,"Ed Oliver",1
"2ad4a7aa-9fca-4c9d-a5d1-90e09e558445",1072155,"Matt Milano",1
"f0176aef-646a-4291-8866-c9785ae85672",1072155,"Taron Johnson",1
"80e0c2b6-4270-49f3-b636-43de979b3cd7",1072155,"Jarran Reed",1
"287f478b-b0b1-424d-a2e5-bd9ca9ec9cba",1072155,"Frank Clark",1
"9b86757f-bcd7-4599-a73c-c4b3a9f8654f",1072157,"Melvin Ingram",1
"e7c93a6b-7bd5-4d6d-988a-f3269511ae94",1072157,"B.J. Hill",1
