player_name,final_elo,role
Roy Robertson-Harris,761.4084422982153,Rusher
Austin Corbett,1155.4758450975473,Blocker
Taven Bryan,765.0826252383935,Rusher
David Edwards,1158.775304710457,Blocker
Coleman Shelton,1148.9396442881266,Blocker
Dawuane Smoot,743.4186340860257,Rusher
Rob Havenstein,1171.1864926414528,Blocker
Josh Allen,785.3919536970469,Rusher
Andrew Whitworth,1183.0514943879575,Blocker
Malcom Brown,751.7225569746955,Rusher
A'Shawn Robinson,734.6466245245396,Rusher
Leonard Floyd,741.1907445804394,Rusher
Jawaan Taylor,1142.833304378825,Blocker
Jay Tufele,738.2141485281554,Rusher
Von Miller,753.3814373893317,Rusher
Tyler Shatley,1150.5647812978232,Blocker
Jihad Ward,749.901790409384,Rusher
K'Lavon Chaisson,743.4032251882378,Rusher
Adam Gotsis,745.0629069584651,Rusher
Joe Noteboom,1135.0242906558244,Blocker
Bobby Evans,1113.862771885733,Blocker
Will Richardson Jr.,1155.695194051328,Blocker
Marquise Copeland,775.1345343667399,Rusher
Damien Wilson,730.7507719084359,Rusher
Myles Jack,741.9570131873013,Rusher
Bobby Brown III,750.4556168790486,Rusher
Michael Hoecht,729.7761818384265,Rusher
Jamir Jones,739.7718739605855,Rusher
Ereck Flowers Sr.,1127.312587233188,Blocker
Brandon Scherff,1157.2430479442246,Blocker
Charles Leno Jr.,1145.4188309219544,Blocker
Cornelius Lucas,1140.629477316741,Blocker
Keith Ismael,1145.3913064166632,Blocker
Daron Payne,736.0262159904969,Rusher
Matt Ioannidis,754.1649330643704,Rusher
James Smith-Williams,686.4602964630353,Rusher
Casey Toohill,678.5233126125651,Rusher
Jonathan Allen,789.6880365152256,Rusher
Daniel Wise,716.199379423365,Rusher
Jamin Davis,747.149476831541,Rusher
Tim Settle,743.3636693348888,Rusher
Bunmi Rotimi,723.8627640610056,Rusher
Cole Holcomb,749.5546461850693,Rusher
Shaka Toney,742.595806896338,Rusher
Khaleke Hudson,746.05604248204,Rusher
Divine Deablo,738.8058550728416,Rusher
Malcolm Koonce,771.8834665153678,Rusher
Tom Compton,1114.4473082122054,Blocker
Jake Curhan,1115.8854452779462,Blocker
Stone Forsythe,1123.211886318178,Blocker
Charles Omenihu,746.9701667787904,Rusher
Kevin Givens,741.3446253976263,Rusher
Kyle Fuller,1126.5884492531532,Blocker
Jordan Willis,722.2802835292163,Rusher
Demetrius Flannigan-Fowles,746.099404379097,Rusher
Benson Mayowa,708.2225894289751,Rusher
Bobby Wagner,739.6565201471134,Rusher
Shamar Stephen,695.966214457321,Rusher
Jonathon Cooper,739.5131971518116,Rusher
Quinn Meinerz,1136.5234481997988,Blocker
Dalton Risner,1170.7508123369282,Blocker
Bobby Massie,1121.6553940836463,Blocker
Garett Bolles,1162.887764100435,Blocker
Lloyd Cushenberry III,1104.8394866183853,Blocker
Shelby Harris,778.2574644620214,Rusher
Deshawn Williams,686.9349604436159,Rusher
Bradley Chubb,731.6287080680421,Rusher
Baron Browning,713.6072680361409,Rusher
Mctelvin Agim,747.7724289458893,Rusher
Stephen Weatherly,724.9230581237548,Rusher
Dre'Mont Jones,774.6035421702568,Rusher
Malik Reed,723.0168017341219,Rusher
Kenny Young,729.0715329869518,Rusher
Mitch Morse,1152.185768616997,Blocker
Daryl Williams,1134.299532606505,Blocker
Ike Boettger,1108.420873813373,Blocker
Spencer Brown,1090.108564532375,Blocker
Dion Dawkins,1154.772149661866,Blocker
Cody Ford,1117.2005124155253,Blocker
Daniel Ekuale,780.7693656887867,Rusher
Ed Oliver,754.6970902457914,Rusher
Trent Brown,1153.0840644122209,Blocker
Star Lotulelei,726.6291153493321,Rusher
Mario Addison,751.3985343313852,Rusher
Jerry Hughes,714.0131111912124,Rusher
Tremaine Edmunds,717.0760770446332,Rusher
Cameron Heyward,735.53494968243206,Rusher
Ezra Cleveland,1113.9442456779423,Blocker
Chris Wormley,765.3481216288254,Rusher
Mason Cole,1155.077262399217,Blocker
Garrett Bradbury,1153.6316371090081,Blocker
Taco Charlton,690.9910140341841,Rusher
Olisaemeka Udoh,1147.2411370650464,Blocker
Brian O'Neill,1169.4715651884137,Blocker
Derrek Tuszka,740.8410336453331,Rusher
Montravius Adams,749.5619764272442,Rusher
Alex Highsmith,736.0199427226576,Rusher
Michael Pierce,753.584739909968,Rusher
Kendrick Green,1180.4550636608597,Blocker
Dalvin Tomlinson,760.5304957178693,Rusher
John Leglue,1162.9602875536766,Blocker
D.J. Wonnum,693.7352466593237,Rusher
Chukwuma Okorafor,1156.219309448492,Blocker
Dan Moore Jr.,1155.9483881645326,Blocker
Marcus Allen,744.1449463968565,Rusher
Isaiahh Loudermilk,705.2003475986372,Rusher
Trai Turner,1112.3925001875805,Blocker
Sheldon Richardson,683.9642167945576,Rusher
Armon Watts,760.4914464992133,Rusher
Henry Mondeaux,754.8996085373606,Rusher
Patrick Jones II,723.6136133135611,Rusher
Eric Kendricks,732.3956594392566,Rusher
Kenny Willekes,743.1077471922324,Rusher
T.J. Watt,831.3049427798207,Rusher
Blake Brandel,1134.6553441222227,Blocker
Joe Schobert,721.6951785860584,Rusher
James Lynch,708.6665104002693,Rusher
Rashaad Coward,1126.7186807159512,Blocker
Devin Bush,741.1390744391746,Rusher
Nathan Shepherd,743.8607640999304,Rusher
Austin Jackson,1147.2726876699512,Blocker
Sheldon Rankins,735.0404784750605,Rusher
Robert Hunt,1174.4251523176035,Blocker
Jesse Davis,1160.1527996966352,Blocker
Kyle Phillips,730.2297652636887,Rusher
Liam Eichenberg,1104.7787238521666,Blocker
Jaelan Phillips,761.1534628037116,Rusher
Alijah Vera-Tucker,1175.7395418205767,Blocker
Adam Butler,689.8986456082383,Rusher
Laurent Duvernay-Tardif,1123.9249268326503,Blocker
Connor Mcgovern,1123.5988921663952,Blocker
Andrew Van Ginkel,694.6747057210868,Rusher
Conor Mcdermott,1090.4718266104721,Blocker
Emmanuel Ogbah,730.4343463754526,Rusher
Morgan Moses,1129.1421655509243,Blocker
Michael Deiter,1137.4665831665488,Blocker
C.J. Mosley,707.9485040768694,Rusher
Quinnen Williams,751.0927570971072,Rusher
Bryce Huff,734.9042744861275,Rusher
John Franklin-Myers,738.5565676624072,Rusher
Raekwon Davis,722.9077055331802,Rusher
Christian Wilkins,751.5820498927372,Rusher
Zach Sieler,752.7807254123492,Rusher
Jonathan Marshall,738.586485733885,Rusher
Ronald Blair,727.9784612381872,Rusher
Robert Jones,1124.562977769644,Blocker
Jerome Baker,725.7803204568569,Rusher
Jarrad Davis,743.6091085957039,Rusher
Duke Riley,737.6178240794605,Rusher
Akiem Hicks,765.1553513887801,Rusher
Bruce Irvin,730.7411554160808,Rusher
Christian Darrisaw,1121.5585861768882,Blocker
Teven Jenkins,1099.4534786556271,Blocker
Ledarius Mack,741.5692900369258,Rusher
Anthony Barr,715.9986948223702,Rusher
Nick Vigil,733.9932255514741,Rusher
Tashawn Bower,760.3922702029486,Rusher
Javon Hargrave,790.4538981307222,Rusher
Fletcher Cox,744.1632509903332,Rusher
Saahdiq Charles,1096.8957055202293,Blocker
Milton Williams,742.229757274273,Rusher
Derek Barnett,721.4361531851364,Rusher
Sam Cosmi,1125.5067263613357,Blocker
Genard Avery,738.3736848269556,Rusher
Ryan Kerrigan,706.8219566475169,Rusher
Hassan Ridgeway,737.1464065030458,Rusher
Tarron Jackson,740.2483865262714,Rusher
Jason Kelce,1123.4401734801147,Blocker
Nate Herbig,1115.602531593023,Blocker
