player_name,role,bt_logit_score,coefficient_source
Trey Smith,Blocker,-4.613948103736159e-5,lambda.min
Marcus Cannon,Blocker,-4.716742817143826e-5,lambda.min
Charlie Heck,Blocker,-4.863153487979879e-5,lambda.min
Jarran Reed,Rusher,-4.872894322656632e-5,lambda.min
Leki Fotu,Rusher,-5.045205408747964e-5,lambda.min
Ndamukong Suh,Rusher,-5.0516096688503445e-5,lambda.min
Grover Stewart,Rusher,-5.081773507762087e-5,lambda.min
Lloyd Cushenberry III,Blocker,-5.108695333677255e-5,lambda.min
Johnathan Hankins,Rusher,-5.1163486438228454e-5,lambda.min
Deshawn Williams,Rusher,-5.1789886582156866e-5,lambda.min
Justin Ellis,Rusher,-5.203185725717934e-5,lambda.min
Brandon Williams,Rusher,-5.238422333122128e-5,lambda.min
Daryl Williams,Blocker,-5.264508184861097e-5,lambda.min
Jaelan Phillips,Rusher,-5.4360685283985206e-5,lambda.min
Cameron Fleming,Blocker,-5.469551155568845e-5,lambda.min
Taylor Moton,Blocker,-5.4697734454862435e-5,lambda.min
Kerry Hyder Jr.,Rusher,-5.641171177321339e-5,lambda.min
Roy Lopez,Rusher,-6.034741963938754e-5,lambda.min
Eric Fisher,Blocker,-6.042654786182622e-5,lambda.min
Mark Glowinski,Blocker,-6.216529539349556e-5,lambda.min
Star Lotulelei,Rusher,-6.384305539991288e-5,lambda.min
Taylor Lewan,Blocker,-6.446810437123577e-5,lambda.min
Sam Hubbard,Rusher,-6.634874367649709e-5,lambda.min
Christian Darrisaw,Blocker,-6.635803000114589e-5,lambda.min
Sheldon Richardson,Rusher,-6.799439501811717e-5,lambda.min
Evan Brown,Blocker,-6.809242765691024e-5,lambda.min
Dion Dawkins,Blocker,-6.851158309765578e-5,lambda.min
Kenny Clark,Rusher,-6.85884418447134e-5,lambda.min
Cam Robinson,Blocker,-6.917362866457111e-5,lambda.min
Jason Kelce,Blocker,-7.006996153087248e-5,lambda.min
Zach Allen,Rusher,-7.09033812657716e-5,lambda.min
Brandon Shell,Blocker,-7.131432236640847e-5,lambda.min
Dean Lowry,Rusher,-7.191103275335155e-5,lambda.min
Malik Jackson,Rusher,-7.329289918832042e-5,lambda.min
Cody Ford,Blocker,-7.699453690255914e-5,lambda.min
Rashawn Slater,Blocker,-7.717473833700748e-5,lambda.min
Cameron Heyward,Rusher,-7.990439224269838e-5,lambda.min
Jawaan Taylor,Blocker,-8.140646716071472e-5,lambda.min
Bobby Massie,Blocker,-8.984462045716507e-5,lambda.min
Ike Boettger,Blocker,-8.990641877229035e-5,lambda.min
Blake Hance,Blocker,-8.994370166314961e-5,lambda.min
Penei Sewell,Blocker,-9.141056306134505e-5,lambda.min
Andrew Wylie,Blocker,-9.198297257948506e-5,lambda.min
Spencer Brown,Blocker,-9.456240319016114e-5,lambda.min
Jerry Tillery,Rusher,-9.606233205162964e-5,lambda.min
Storm Norton,Blocker,-9.623829309550245e-5,lambda.min
Alex Leatherwood,Blocker,-9.783640107050855e-5,lambda.min
B.J. Hill,Rusher,-1.0486796280849643e-4,lambda.min
Liam Eichenberg,Blocker,-1.0859262031438834e-4,lambda.min
D.J. Humphries,Blocker,-1.1364613368934753e-4,lambda.min
Morgan Moses,Blocker,-1.1869799623040445e-4,lambda.min
