player_name,role,weighted_severity_logit_score,elo_like_score,coefficient_source
Kylie Fitts,Rusher,-4.109780427723405e-6,999.999286075537,lambda.min
A.J. Johnson,Rusher,-4.161618408922357e-6,999.9992770703574,lambda.min
Tre'Vour Wallace-Simms,Blocker,-4.202568905233827e-6,999.9992699565275,lambda.min
Aaron Stinnie,Blocker,-4.205578532087998e-6,999.9992694337018,lambda.min
James Vaughters,Rusher,-4.2174018169955215e-6,999.9992673797868,lambda.min
Nick Dzubnar,Rusher,-4.2393296942690945e-6,999.9992635705244,lambda.min
Wyatt Ray,Rusher,-4.253494257510188e-6,999.9992611098877,lambda.min
Dan Moore Jr.,Blocker,-4.349786519311948e-6,999.9992443822085,lambda.min
Shaun Bradley,Rusher,-4.3687312832259734e-6,999.999241091166,lambda.min
Jack Heflin,Rusher,-4.371664594839721e-6,999.9992405815975,lambda.min
T.J. Edwards,Rusher,-4.506298347989171e-6,999.9992171933192,lambda.min
Forrest Merrill,Rusher,-4.538021473657977e-6,999.9992116824478,lambda.min
Dennis Gardeck,Rusher,-4.5477680024996254e-6,999.9992099893022,lambda.min
David Mayo,Rusher,-4.6104775675026046e-6,999.9991990955351,lambda.min
Devin White,Rusher,-4.6145522866386465e-6,999.9991983876838,lambda.min
Khyiris Tonga,Rusher,-4.624098942843834e-6,999.9991967292598,lambda.min
Frank Clark,Rusher,-4.684970923963622e-6,999.9991861547136,lambda.min
Elijah Lee,Rusher,-4.68936092013006e-6,999.9991853920932,lambda.min
Ben Niemann,Rusher,-4.71530580100596e-6,999.9991808850058,lambda.min
Kendal Vickers,Rusher,-4.747868467447841e-6,999.9991752282912,lambda.min
Michael Dogbe,Rusher,-4.753960318390116e-6,999.9991741700283,lambda.min
Derrek Tuszka,Rusher,-4.764458636658047e-6,999.9991723462836,lambda.min
Cameron Malveaux,Rusher,-4.783181691630879e-6,999.9991690937559,lambda.min
Ladarius Hamilton,Rusher,-4.929990992622261e-6,999.9991435903681,lambda.min
Oren Burks,Rusher,-4.930990211918287e-6,999.999143416786,lambda.min
Hamsah Nasirildeen,Rusher,-4.9524161129487415e-6,999.9991396947257,lambda.min
Patrick Jones II,Rusher,-4.966888605150169e-6,999.9991371805963,lambda.min
Alex Barshaba,Blocker,-4.971600636255481e-6,999.9991363620327,lambda.min
Taylor Moton,Blocker,-5.083436282875019e-6,999.999116934191,lambda.min
Jason Kelce,Blocker,-5.112615897371753e-6,999.9991118651727,lambda.min
Ty Sambrailo,Blocker,-5.118440059413202e-6,999.9991108534122,lambda.min
Tim Ward,Rusher,-5.128239315610435e-6,999.9991091511071,lambda.min
Elerson Smith,Rusher,-5.1756746935762465e-6,999.9991009107379,lambda.min
Trystan Colon,Blocker,-5.255423232077607e-6,999.9990870569977,lambda.min
Steve Mclendon,Rusher,-5.262763495508453e-6,999.9990857818634,lambda.min
Lerentee Mccray,Rusher,-5.272702001207183e-6,999.9990840553681,lambda.min
Shaq Thompson,Rusher,-5.4473155975030606e-6,999.9990537218796,lambda.min
Caraun Reid,Rusher,-5.5920607476547304e-6,999.9990285770716,lambda.min
Chris Lindstrom,Blocker,-5.648315380939096e-6,999.9990188046409,lambda.min
Doug Costin,Rusher,-5.723317423820337e-6,999.9990057754516,lambda.min
Jackson Barton,Blocker,-5.741701880735131e-6,999.9990025817442,lambda.min
Mike Onwenu,Blocker,-5.756882399215085e-6,999.998999944618,lambda.min
Corey Levin,Blocker,-5.8277306295863104e-6,999.9989876370199,lambda.min
Dakota Allen,Rusher,-5.854909914960014e-6,999.9989829154945,lambda.min
David Sharpe,Blocker,-5.915440047281097e-6,999.9989724003334,lambda.min
Shaquille Quarterman,Rusher,-5.963723412809982e-6,999.9989640126538,lambda.min
Trent Harris,Rusher,-6.039860750511586e-6,999.9989507862435,lambda.min
Carl Davis Jr.,Rusher,-6.04575314304629e-6,999.9989497626301,lambda.min
Mike Purcell,Rusher,-6.1550915383876905e-6,999.9989307686054,lambda.min
