player_name,role,weighted_severity_logit_score,coefficient_source
Isaiah Simmons,Rusher,-0.0849244827371892,lambda.min
Robert Nkemdiche,Rusher,-0.08514727317359333,lambda.min
Bobby Wagner,Rusher,-0.08537164763789697,lambda.min
Roy Lopez,Rusher,-0.08556749591521279,lambda.min
Germain Ifedi,Blocker,-0.08592417440029856,lambda.min
Jonathan Bullard,Rusher,-0.08610229249935457,lambda.min
Christian Kirksey,Rusher,-0.08709209752828126,lambda.min
Anthony Barr,Rusher,-0.08794980772305688,lambda.min
Joe Gaziano,Rusher,-0.08828001312410806,lambda.min
Bobby Evans,Blocker,-0.08971957357933172,lambda.min
Khyiris Tonga,Rusher,-0.0901228375999153,lambda.min
Elijah Wilkinson,Blocker,-0.09045943971997744,lambda.min
Ben Bredeson,Blocker,-0.09048920301285751,lambda.min
Eddie Goldman,Rusher,-0.09115961832168518,lambda.min
Foyesade Oluokun,Rusher,-0.09477954789337384,lambda.min
Charles Omenihu,Rusher,-0.0956808007762295,lambda.min
Quinton Bohanna,Rusher,-0.09607071679950385,lambda.min
Kendall Lamm,Blocker,-0.09655226122986962,lambda.min
Morgan Moses,Blocker,-0.09658174048189323,lambda.min
Alex Anzalone,Rusher,-0.0969473370890266,lambda.min
Pernell Mcphee,Rusher,-0.09785077231734488,lambda.min
Greg Van Roten,Blocker,-0.0986860754376105,lambda.min
Cam Sample,Rusher,-0.09887000506722973,lambda.min
Marlon Davidson,Rusher,-0.09901740850167659,lambda.min
D.J. Reader,Rusher,-0.09939710868330566,lambda.min
Jake Curhan,Blocker,-0.1008083853055662,lambda.min
Graham Glasgow,Blocker,-0.10233134343093891,lambda.min
Isaiah Buggs,Rusher,-0.10275099942836477,lambda.min
Melvin Ingram,Rusher,-0.10373858751716994,lambda.min
Malcolm Roach,Rusher,-0.10376807171897061,lambda.min
Ryan Mccollum,Blocker,-0.10399352489439374,lambda.min
Elgton Jenkins,Blocker,-0.10423607922221939,lambda.min
Alejandro Villanueva,Blocker,-0.10437893805278256,lambda.min
John Penisini,Rusher,-0.10458106128713496,lambda.min
Bobby Okereke,Rusher,-0.10646049271353054,lambda.min
Danny Shelton,Rusher,-0.10692489972464161,lambda.min
Brandon Shell,Blocker,-0.107519076867662,lambda.min
Albert Huggins,Rusher,-0.10811148175326286,lambda.min
L.J. Collier,Rusher,-0.10825675279560457,lambda.min
James Lynch,Rusher,-0.1086210280263225,lambda.min
Roquan Smith,Rusher,-0.10863774322729317,lambda.min
Damien Wilson,Rusher,-0.10939691511417195,lambda.min
Ryan Kerrigan,Rusher,-0.11106839203664116,lambda.min
C.J. Mosley,Rusher,-0.1130889765309414,lambda.min
Dont'A Hightower,Rusher,-0.11321351708456234,lambda.min
George Fant,Blocker,-0.11332979425701815,lambda.min
Ereck Flowers Sr.,Blocker,-0.1135028596338076,lambda.min
David Sharpe,Blocker,-0.11465868872677534,lambda.min
Daniel Brunskill,Blocker,-0.11524676404478429,lambda.min
Ta'Quon Graham,Rusher,-0.11537290332774244,lambda.min
Colton Mckivitz,Blocker,-0.11541249227277517,lambda.min
Kevin Givens,Rusher,-0.11656690108096072,lambda.min
Jaleel Johnson,Rusher,-0.11675624997045757,lambda.min
Montravius Adams,Rusher,-0.11690689518873477,lambda.min
Davon Hamilton,Rusher,-0.11780750782661531,lambda.min
Will Holden,Blocker,-0.1184703267391448,lambda.min
Jordan Hicks,Rusher,-0.11860245712526761,lambda.min
Morgan Fox,Rusher,-0.11888992916204917,lambda.min
Casey Toohill,Rusher,-0.11890083169457942,lambda.min
Daron Payne,Rusher,-0.1193543786776401,lambda.min
Caleb Benenoch,Blocker,-0.11989751231054821,lambda.min
Austin Johnson,Rusher,-0.12238130715189485,lambda.min
Anthony Rush,Rusher,-0.12289683604754545,lambda.min
Isaiahh Loudermilk,Rusher,-0.12302882419810073,lambda.min
Quinton Spain,Blocker,-0.12319054014798816,lambda.min
Tom Compton,Blocker,-0.12320639723488977,lambda.min
James Hudson III,Blocker,-0.12381387578784551,lambda.min
Al Woods,Rusher,-0.12457404750419374,lambda.min
Poona Ford,Rusher,-0.12461514033893485,lambda.min
Christian Ringo,Rusher,-0.12568037038935811,lambda.min
Kaleb McGary,Blocker,-0.12641358811953313,lambda.min
Tyeler Davison,Rusher,-0.12720161050947568,lambda.min
Justin Hamilton,Rusher,-0.12904181835042294,lambda.min
Connor Mcgovern,Blocker,-0.13072686163824843,lambda.min
Tyler Lancaster,Rusher,-0.13250243585861177,lambda.min
Korey Cunningham,Blocker,-0.13332721253319627,lambda.min
Malik Jackson,Rusher,-0.13478276093977765,lambda.min
Patrick Mekari,Blocker,-0.13602542754976762,lambda.min
Calais Campbell,Rusher,-0.1363903556500977,lambda.min
Grover Stewart,Rusher,-0.13792755394890605,lambda.min
Larry Borom,Blocker,-0.13924818331763042,lambda.min
Naquan Jones,Rusher,-0.1428131908674672,lambda.min
Ethan Pocic,Blocker,-0.14291298005415723,lambda.min
Bravvion Roy,Rusher,-0.14358334175761855,lambda.min
Dexter Lawrence,Rusher,-0.14363552223058212,lambda.min
Brandon Parker,Blocker,-0.1437845720944734,lambda.min
Linval Joseph,Rusher,-0.14402233815802162,lambda.min
Deshawn Williams,Rusher,-0.14402445432516914,lambda.min
Teven Jenkins,Blocker,-0.14409664865478722,lambda.min
Maliek Collins,Rusher,-0.14460766174906908,lambda.min
Duane Brown,Blocker,-0.14598862794651488,lambda.min
Kayode Awosika,Blocker,-0.1463330035914283,lambda.min
