player_name,role,mean_score,sd_score,q025,q25,q50,q75,q975,n_boot,observed_score,played_this_week,week_index,week_label,week_num,week_source,cumulative_games,cumulative_rows,iterations,fixed_lambda,bootstrap_scope
Quenton Nelson,Blocker,0.17852367341752667,0.2157128987020902,0,0,0,0.32633332606448406,0.6171006576287459,100,0.3459762742366863,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Greg Van Roten,Blocker,0.16143413952233157,0.19109064956624977,0,0,0,0.27781069435029004,0.5778434369475347,100,0.3042828023362355,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Chris Lindstrom,Blocker,0.15069616557449678,0.17977837422942713,0,0,0,0.2713287783756734,0.5121325568278339,100,0.28654478567444347,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Gabe Jackson,Blocker,0.14910485992992237,0.19353617119951308,0,0,0,0.234034785134292,0.6044439834117163,100,0.25396746045491014,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Isaac Seumalo,Blocker,0.14762506887724267,0.1734115747553668,0,0,0,0.2630240838560709,0.47460358316601525,100,0.2782973472038738,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Andrew Norwell,Blocker,0.14667449508467767,0.15973224192332172,0,0,0,0.2525246186876828,0.4306871839769383,100,0.26799472707805827,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Alijah Vera-Tucker,Blocker,0.14586737682686998,0.16826722021274065,0,0,0,0.2649203848362689,0.48592283849710227,100,0.2859246515157795,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Rashod Hill,Blocker,0.1354088088528204,0.16533803785558626,0,0,0,0.3002911235924888,0.4508558881955165,100,0.18506657621394682,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Oday Aboushi,Blocker,0.13530756962942111,0.15110948862888546,0,0,0,0.24836334642279673,0.4197037275098316,100,0.2633516571778011,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Lloyd Cushenberry III,Blocker,0.13489985908811505,0.1625533508199942,0,0,0,0.23518247495145317,0.4408933883897632,100,0.25698717427347467,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Matt Nelson,Blocker,0.13364295662730571,0.17023433401462126,0,0,0,0.2641127850845435,0.4275175319312429,100,0.2844541102821279,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Michael Deiter,Blocker,0.1282353470287921,0.15561292461099338,0,0,0,0.2397830558352407,0.41785850954326775,100,0.25987074449750946,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Joel Bitonio,Blocker,0.12609966379534668,0.15433585220911997,0,0,0,0.24004816979345844,0.4553903174909194,100,0.26698418716314687,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Marcus Cannon,Blocker,0.12435097748412444,0.13864840202218542,0,0,0,0.1999405167046602,0.3949224796578424,100,0.21380190530455534,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Wyatt Teller,Blocker,0.12104507008789823,0.1457510800149634,0,0,0,0.23659505306466277,0.4192349219210807,100,0.2619167605182274,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Bradley Bozeman,Blocker,0.12053211719288487,0.134828726349979,0,0,0,0.21791277545789892,0.35052298086829903,100,0.23985973628784718,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Calvin Throckmorton,Blocker,0.11781381942794926,0.15878934973911774,0,0,0,0.2447698351982775,0.4368892298805346,100,0.27076182573215457,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
