class,term,coef
loss,rusher::Duke Riley,-0.15823748869258744
loss,rusher::Dylan Cole,-0.0739866359811719
loss,rusher::E.J. Speed,-0.05096911264100164
loss,rusher::Ed Oliver,-0.18798922452400074
loss,rusher::Eddie Goldman,0.040373670449455515
loss,rusher::Eddie Yarbrough,0.0524057981850128
loss,rusher::Efe Obada,-0.16567199416968603
loss,rusher::Elandon Roberts,-0.10956311765770027
loss,rusher::Elerson Smith,0.04893124933974361
loss,rusher::Eli Ankou,-0.11551831801702767
loss,rusher::Elijah Lee,0.13935737159573836
loss,rusher::Emeke Egbule,0.05601381291078981
loss,rusher::Emmanuel Ellerbee,0.0367866211446995
loss,rusher::Emmanuel Ogbah,-0.11634830519023248
loss,rusher::Eric Banks,-0.010845284108309098
loss,rusher::Eric Kendricks,0.07179181692629574
loss,rusher::Eric Wilson,0.008483568661362724
loss,rusher::Ernest Jones,-0.02519750416844177
loss,rusher::Ethan Westbrooks,0.06365405934202682
loss,rusher::Everson Griffen,-0.14134158055719676
loss,rusher::Fletcher Cox,0.001948063149429319
loss,rusher::Folorunso Fatukasi,-0.04743857441939904
loss,rusher::Forrest Merrill,0.01614554368085247
loss,rusher::Foyesade Oluokun,-0.0018122891662175063
loss,rusher::Frank Clark,-0.004464251549051845
loss,rusher::Frank Herron,0.03560250446837058
loss,rusher::Frankie Luvu,-0.11759785719376614
loss,rusher::Fred Warner,-0.015215730134968573
loss,rusher::Freedom Akinmoladun,-0.014507072029749143
loss,rusher::Garret Wallow,-0.19475428617282717
loss,rusher::Genard Avery,-0.11135180153349243
loss,rusher::Gerald McCoy,-0.06435430323133862
loss,rusher::Germaine Pratt,0.01692869420174454
loss,rusher::Grady Jarrett,-0.0559859719424478
loss,rusher::Grant Stuard,0.02066878286463051
loss,rusher::Greg Gaines,-0.03689684912715154
loss,rusher::Greg Rousseau,-0.15376090543432955
loss,rusher::Grover Stewart,0.07782497420673248
loss,rusher::Haason Reddick,-0.14688474428774947
loss,rusher::Hamilcar Rashed Jr.,0.07361821521118962
loss,rusher::Hamsah Nasirildeen,0.1786090296534139
loss,rusher::Hardy Nickerson,-0.04950679315555363
loss,rusher::Harold Landry III,-0.07611190892048349
loss,rusher::Harvey Langi,-0.0153223160889473
loss,rusher::Hassan Ridgeway,-0.08620808853420373
loss,rusher::Henry Anderson,-0.007195992154489645
loss,rusher::Henry Mondeaux,0.2038922764939226
loss,rusher::Ifeadi Odenigbo,0.2789538955295592
loss,rusher::Isaac Rochell,0.10476250773678017
loss,rusher::Isaiah Buggs,0.05489186292950284
loss,rusher::Isaiah Mack,-0.05424441855424423
loss,rusher::Isaiah Simmons,0.01888902591561663
loss,rusher::Isaiahh Loudermilk,0.19395089817467723
loss,rusher::J.J. Watt,-0.37274244925263705
loss,rusher::Ja'Whaun Bentley,0.051512497327081755
loss,rusher::Jabari Zuniga,-0.23700865638575636
loss,rusher::Jabril Cox,0.0176777137761701
loss,rusher::Jack Heflin,0.13712779094516295
loss,rusher::Jacob Martin,-0.22262467939373892
loss,rusher::Jacob Phillips,-0.008195170345098444
loss,rusher::Jacob Tuioti-Mariner,0.1627752577172374
loss,rusher::Jacoby Stevens,-0.045517577080959444
loss,rusher::Jadeveon Clowney,-0.2529654456516987
loss,rusher::Jaelan Phillips,-0.08598036327853176
loss,rusher::Jahlani Tavai,0.07697064579140633
loss,rusher::Jake Zimmer,8.703153636898186e-4
